weightString,weight,title,content,remarks,remarks
二兩一,2.1,一生衣食奔波勞碌之命,"短命非業謂大凶，
平生災難事重重；
凶禍頻臨陷逆境，
終世困苦事不成。",,
二兩二,2.2,幼年勞碌中年清泰之命,"身寒骨冷苦伶仃，
此命推來行乞人；
勞勞碌碌難度日，
終年打拱過平生。",,
二兩三,2.3,先難後易出外求人之命,"此命推來骨格輕，
求謀作事事難成；
妻兒子女應難許，
別處他鄉作散人。",,
二兩四,2.4,智巧多能離家求食之命,"此命推來福祿無，
門庭困苦總難榮；
六親骨肉皆無靠，
流浪他鄉作老翁。",,
二兩五,2.5,身閒心不閒九流藝術之命,"命推來福祖業微，
庭困營度似稀奇；
六親骨肉如冰炭，
一世勤勞自把持。",,
二兩六,2.6,先貧後富勞碌之命,"平生衣祿苦中求，
獨自營謀事不休；
離祖出門宜早計，
晚來衣食自無憂。",,
二兩七,2.7,聰明近貴衣祿之命,"一生作事少商量，
難靠祖宗作主張；
獨馬單槍空做去，
早年晚歲總無長。",,
二兩八,2.8,自卓為人才能近貴之命,"一生行事似飄蓬，
祖宗產業在夢中；
若不過房併改姓，
也當移徙二三通。",,
二兩九,2.9,客商才能達變智慧之命,"初年運限未能通，
縱有功名在後成；
須過四旬才可立，
移居改姓始為良。",,
三兩,3,衣食有餘近貴成家之命,"勞勞碌碌苦中求，
東奔西走何日休；
若能終身勤與儉，
老來稍可免憂愁。",,
三兩一,3.1,先貧後富近貴衣食足用之命,"忙忙碌碌苦中求，
何日雲開見日頭；
難得祖基家可立，
中年衣食漸無憂。",,
三兩二,3.2,性巧過人衣食到老近貴之命,"初年運蹇事難謀，
漸有財源如水流；
到得中年衣食旺，
那時名利一齊收。",,
三兩三,3.3,衣食豐滿富貴根基之命,"早年做事事難成，
百計勤勞枉費心；
半世自如流水去，
後來運到始得金。",,
三兩四,3.4,財穀有餘主得內助富貴之命,"此命福氣果如何，
僧道門中衣祿多；
離祖出家方為妙，
朝晚拜佛念彌陀。",,
三兩五,3.5,先難後易過房入贅近貴之命,"生平福量不周全，
祖業根基覺少傳；
營事生涯宜守舊，
時來衣食勝從前。",,
三兩六,3.6,超群拔類衣祿厚重之命,"不須勞碌過平生，
獨自成家福不輕；
早有福星常照命，
任君行去百般成。",,
三兩七,3.7,聰明富貴有福壽之命,"此命般般事不成，
弟兄少力自孤行；
縱然祖業雖微有，
來得明時去不明。",,
三兩八,3.8,財帛豐厚宜稱之命,"一生骨肉最清高，
早入黌門姓名標；
待到年將三十六，
藍衣脫去換紅袍。",,
三兩九,3.9,利上近貴有福有祿之命,"此命終身運不通，
勞勞作事盡皆空；
苦心竭力成家計，
到得那時在夢中。",,
四兩,4,富貴近益生匯鼎盛機關之命,"平生衣祿是綿長，
件件心中自主張；
前面風霜多受過，
後來必定享安康。",,
四兩一,4.1,稅戶近貴專才衣祿之命,"此命推來是不同，
為人能幹異凡庸；
中年還有逍遙福，
不比前年運未通。",,
四兩二,4.2,兵權有職富貴才能之命,"得寬懷處且寬懷，
何用雙眉皺不開；
若使中年命運濟，
那時名利一齊來。",,
四兩三,4.3,財祿厚重白手成家之命,"為人心性最聰明，
作事軒昂近貴人；
衣祿一生天數定，
不須勞碌是豐亨。",,
四兩四,4.4,才能好學近貴財祿之命,"萬事由天莫苦求，
須知福祿賴人修；
中年財帛難如意，
晚景欣然便不憂。",,
四兩五,4.5,福祿豐盈極富且貴之命,"名利推來竟若何，
前番辛苦後奔波；
命中難養男與女，
骨肉扶持也不多。",,
四兩六,4.6,富貴有餘福壽雙全之命,"東南西北盡皆通，
出姓移居更覺隆；
衣祿無虧天數定，
中年晚景一般同。",,
四兩七,4.7,高官厚祿學業飽滿之命,"此命推來旺末年，
妻榮子貴自怡然；
平生原有滔滔福，
可有財源若水泉。",,
四兩八,4.8,官員財祿厚重之命,"幼年運道未能通，
若是蹉跎命不同；
兄弟六親皆無靠，
一身事業晚來隆。",,
四兩九,4.9,性巧精乖倉庫財祿之命,"此命推來福不輕，
自成自立顯門庭；
從來富貴人親近，
使婢差奴過一生。",,
五兩,5,文武才能財穀豐富之命,"為利為名終日勞，
中年福祿也多遭；
老年自有財星照，
不比前番目下高。",,
五兩一,5.1,官職財祿榮民富貴之命,"一世榮華事事通，
不須勞苦自亨通；
弟兄叔侄皆如意，
家業成時福祿宏。",,
五兩二,5.2,掌握兵權富貴長壽之命,"一世亨通事事能，
不須勞苦自然寧；
宗族欣然福祿多，
家業豐亨自稱心。",,
五兩三,5.3,僧道門中近貴之命,"此格推來福祿宏，
興家發達在其中；
一生衣食安排定，
卻是人間一富翁。",,
五兩四,5.4,有權威富貴財祿之命,"此命推來厚且清，
詩書滿腹功業成；
豐衣足食自然穩，
正是人間有福人。",,
五兩五,5.5,官職財祿豐堅之命,"走馬揚鞭爭利名，
少年做事費評論；
一朝福祿源源至，
富貴榮華顯六親。",,
五兩六,5.6,官職長享榮華富貴之命,"此格推來禮義通，
一生福祿用無窮；
甜酸苦辣皆嚐過，
財源滾滾穩且通。",,
五兩七,5.7,官職文章壓眾精通之命,"福祿豐盈萬事全，
一生榮耀顯雙親；
名揚威振人欽敬，
處世逍遙似神仙。",,
五兩八,5.8,官祿旺相才能性直富貴之命,"平生福祿自然來，
名利兼全福壽偕；
雁塔題名為貴客，
紫袍玉帶走金階。",,
五兩九,5.9,官職財祿厚重之命,"細推此格秀且清，
必定財高學業成；
甲第之中應有分，
揚鞭走馬顯威榮。",,
六兩,6,官職榮華福壽財祿之命,"一朝金榜快題名，
顯祖榮官大器成；
衣食自然豐裕足，
田園財帛更豐盈。",,
六兩一,6.1,官掌風雷權柄之命,"不作朝中金榜客，
官為世上一財翁；
聰明天賦經書熟，
名顯高科自是榮。",,
六兩二,6.2,官職有權柄之命命,"此命生來福不窮，
讀書必定顯親族；
紫衣金帶為卿相，
富貴榮華皆可同。",,
六兩三,6.3,指揮太守萬戶封侯之命,"命主為官福祿長，
得來富貴定非常；
名題雁塔傳金榜，
顯耀門庭天下揚。",,
六兩四,6.4,官職尚書侍郎之命,"此命威權不可當，
紫袍金帶坐高堂；
榮華富貴誰能及，
百世留名姓氏揚。",,
六兩五,6.5,威權無盡財福祿全之命,"細推此命福不輕，
富貴榮華孰與爭；
定國安邦榮品人，
威聲顯赫四方聞。",,
六兩六,6.6,公侯駙馬丞相之命,"此格人間一福人，
堆金積玉滿堂春；
從來富貴由天定，
金榜題名謁聖君。",,
六兩七,6.7,英名冠世萬國來朝上格之命,"此命生來福自宏，
田園家業最高隆；
平生衣祿豐盈足，
一代榮華萬事通。",,
六兩八,6.8,溫和幸福富貴極吉之命,"福貴由天莫苦求，
萬金家計不須謀；
十年不比前番事，
祖業根基水上舟。",,
六兩九,6.9,受職高位功名顯達之命,"君是人間衣祿星，
一生富貴眾人欽；
縱然福祿由天定，
安享榮華過一生。",,
七兩,7,權力共備志望上流之命,"此命推來福非輕，
不須愁慮苦勞心；
一生天定衣祿興，
富貴榮華主一生。",,
七兩一,7.1,大志大業勢如破竹之命,"此命生成大不同，
公侯卿相在其中；
一生自有逍遙福，
富貴榮華極品隆。",,